epoch,step,test_ik_loss,test_loss,test_move_loss,train_ik_loss_epoch,train_ik_loss_step,train_loss_epoch,train_loss_step,train_move_loss_epoch,train_move_loss_step,val_ik_loss,val_loss,val_move_loss
33,1839,,,,,0.0025360393337905407,,0.0025367578491568565,,7.184855803643586e-06,,,
33,1849,,,,,0.0024448896292597055,,0.00244546914473176,,5.794178832729813e-06,,,
33,1859,,,,,0.0025315831881016493,,0.0025324360467493534,,8.529254955647048e-06,,,
33,1869,,,,,0.002406447660177946,,0.0024073615204542875,,9.13946860237047e-06,,,
33,1869,,,,,,,,,,0.0024799031671136618,0.002480562776327133,6.594353635591688e-06
33,1869,,,,0.0024741790257394314,,0.002474887063726783,,7.084193384798709e-06,,,,
34,1879,,,,,0.0026143272407352924,,0.0026149514596909285,,6.243307325348724e-06,,,
34,1889,,,,,0.0024343018885701895,,0.0024349489249289036,,6.469555046351161e-06,,,
34,1899,,,,,0.002479318995028734,,0.0024800975807011127,,7.786239621054847e-06,,,
34,1909,,,,,0.002362887840718031,,0.002363873180001974,,9.854403288045432e-06,,,
34,1919,,,,,0.002788582583889365,,0.0027894151862710714,,8.325762792082969e-06,,,
34,1924,,,,,,,,,,0.002482861978933215,0.0024834813084453344,6.1917876337247435e-06
34,1924,,,,0.0024746388662606478,,0.0024754235055297613,,7.849711437302176e-06,,,,
35,1929,,,,,0.002483269665390253,,0.0024840591941028833,,7.896066563262139e-06,,,
35,1939,,,,,0.0023918715305626392,,0.002392631024122238,,7.595602255605627e-06,,,
35,1949,,,,,0.00227451347745955,,0.0022752026561647654,,6.89282296661986e-06,,,
35,1959,,,,,0.002181966556236148,,0.002182774245738983,,8.076420272118412e-06,,,
35,1969,,,,,0.002600032137706876,,0.002600671024993062,,6.389708232745761e-06,,,
35,1979,,,,,0.0023787280078977346,,0.002379346638917923,,6.186066912050592e-06,,,
35,1979,,,,,,,,,,0.002478971378877759,0.0024794582277536392,4.872120825893944e-06
35,1979,,,,0.0024747622665017843,,0.0024754805490374565,,7.180018201324856e-06,,,,
36,1989,,,,,0.0024725820403546095,,0.002473370870575309,,7.887855645094533e-06,,,
36,1999,,,,,0.002510740887373686,,0.0025113483425229788,,6.075520104786847e-06,,,
36,2009,,,,,0.0025690835900604725,,0.002569769509136677,,6.860148005216615e-06,,,
36,2019,,,,,0.0024661163333803415,,0.0024669147096574306,,7.982822353369556e-06,,,
36,2029,,,,,0.00252876547165215,,0.0025294353254139423,,6.69780956741306e-06,,,
36,2034,,,,,,,,,,0.002480603288859129,0.0024811618495732546,5.586730367213022e-06
36,2034,,,,0.002473346656188369,,0.0024740551598370075,,7.07795061316574e-06,,,,
37,2035,0.002507415832951665,0.0025079709012061357,5.5484456424892414e-06,,,,,,,,,
