ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
-2.344536930322647095e-01,-3.576099574565887451e-01,1.002349853515625000e+00,-2.039908915758132935e-01,-5.387570261955261230e-01,8.162934780120849609e-01,-4.235109686851501465e-02,-3.049333393573760986e-01,-3.272214233875274658e-01,-1.314139485359191895e+00,-1.048008322715759277e+00,2.511708498001098633e+00,-2.382133901119232178e-01,2.207356214523315430e+00
-4.546506702899932861e-01,-2.410562783479690552e-01,5.948185324668884277e-01,6.106064319610595703e-01,2.036456018686294556e-01,7.160137891769409180e-01,2.702082097530364990e-01,2.986364066600799561e-01,-1.882491230964660645e+00,2.962801694869995117e+00,1.407549142837524414e+00,2.783079624176025391e+00,1.785961866378784180e+00,2.130061149597167969e+00
-1.797292977571487427e-01,1.422922760248184204e-01,1.195176601409912109e+00,-4.154166281223297119e-01,9.075043350458145142e-02,9.038063287734985352e-01,4.824426770210266113e-02,-1.980149626731872559e+00,-6.014631316065788269e-02,-1.698657631874084473e+00,-4.145214557647705078e-01,-2.619110107421875000e+00,-5.069562196731567383e-01,2.964583158493041992e+00
1.462836563587188721e-01,-7.342670559883117676e-01,5.961396694183349609e-01,9.142769873142242432e-02,4.093467593193054199e-01,8.012763261795043945e-01,4.266526401042938232e-01,-1.393313050270080566e+00,1.189912199974060059e+00,-2.669857144355773926e-01,-3.225055038928985596e-01,2.713777303695678711e+00,2.075221776962280273e+00,3.406693041324615479e-01
-4.771968126296997070e-01,-1.412602066993713379e-01,2.384048253297805786e-01,-3.612340688705444336e-01,-7.200469374656677246e-01,-9.896649979054927826e-03,5.924056768417358398e-01,1.296060800552368164e+00,-1.445983767509460449e+00,-1.206359982490539551e+00,1.963325262069702148e+00,4.698652923107147217e-01,1.767468452453613281e-01,1.514796495437622070e+00
1.408575624227523804e-01,1.646582931280136108e-01,8.834834694862365723e-01,8.554567694664001465e-01,1.863075494766235352e-01,-2.223479002714157104e-01,-4.290041923522949219e-01,-2.627834081649780273e+00,3.526023030281066895e-01,1.691451296210289001e-02,1.477469682693481445e+00,-2.032835006713867188e+00,1.930106163024902344e+00,-2.564953088760375977e+00
1.115706861019134521e-01,-5.068543553352355957e-01,8.656036853790283203e-01,5.506022647023200989e-02,-5.878495573997497559e-01,3.026876747608184814e-01,7.481854557991027832e-01,-1.864352107048034668e+00,3.980821371078491211e-01,1.039732217788696289e+00,-1.109175324440002441e+00,-2.255638122558593750e+00,1.634831666946411133e+00,-1.550282239913940430e+00
2.729410529136657715e-01,2.138158529996871948e-01,1.087251424789428711e+00,7.390969991683959961e-01,-3.679917752742767334e-01,4.490641653537750244e-01,-3.415539562702178955e-01,5.608879327774047852e-01,5.000641345977783203e-01,-4.793289899826049805e-01,3.504856824874877930e-01,1.351953446865081787e-01,1.820893406867980957e+00,-1.806577801704406738e+00
-4.366507530212402344e-01,-6.758532524108886719e-01,5.010384917259216309e-01,1.293125748634338379e-01,-6.890867352485656738e-01,-3.957426920533180237e-02,7.119491696357727051e-01,1.282907962799072266e+00,-1.094589710235595703e+00,-6.184192299842834473e-01,7.191743254661560059e-01,-1.186841130256652832e+00,-7.699951529502868652e-01,1.538552641868591309e+00
-3.446453213691711426e-01,-9.664373844861984253e-02,6.894897818565368652e-01,-4.485688209533691406e-01,-7.565239816904067993e-02,7.842562794685363770e-01,4.219062030315399170e-01,-2.536580085754394531e+00,-1.747331917285919189e-01,2.957888126373291016e+00,2.078043937683105469e+00,-2.532321691513061523e+00,-1.201536417007446289e+00,-1.434309124946594238e+00
-7.695528864860534668e-01,2.696700990200042725e-01,4.011399745941162109e-01,7.513319849967956543e-01,-6.103779673576354980e-01,-1.619414836168289185e-01,1.916089802980422974e-01,2.571012735366821289e+00,1.595360159873962402e+00,2.250634908676147461e+00,-5.465236902236938477e-01,-2.030971050262451172e+00,1.397987604141235352e+00,1.243354678153991699e+00
-1.376117169857025146e-01,2.415454089641571045e-01,2.019911073148250580e-02,6.590967178344726562e-01,5.745381116867065430e-01,-4.852675199508666992e-01,3.607812803238630295e-03,6.627091765403747559e-01,2.040917158126831055e+00,9.137138128280639648e-01,-2.061625719070434570e+00,1.881733775138854980e+00,-8.403603434562683105e-01,9.980849027633666992e-01
5.635280609130859375e-01,4.596587270498275757e-02,6.817655265331268311e-02,7.095502018928527832e-01,5.342818498611450195e-01,3.250609636306762695e-01,3.246795237064361572e-01,2.604662895202636719e+00,-1.531877875328063965e+00,-2.282092094421386719e+00,-1.646043896675109863e+00,3.158354163169860840e-01,-9.535856246948242188e-01,6.403689980506896973e-01
-3.750295341014862061e-01,-3.626783490180969238e-01,7.916579842567443848e-01,-6.213881075382232666e-02,6.879138946533203125e-01,7.195293307304382324e-01,7.204788923263549805e-02,1.291336655616760254e+00,-1.241568684577941895e+00,7.965840697288513184e-01,-9.886219501495361328e-01,-6.805335730314254761e-02,1.697869539260864258e+00,2.114227294921875000e+00
-3.111543357372283936e-01,2.410613745450973511e-01,5.884316563606262207e-01,7.281667590141296387e-01,-2.097442895174026489e-01,-6.096065640449523926e-01,2.327237874269485474e-01,-2.419349431991577148e+00,-3.201250731945037842e-01,-1.325206160545349121e+00,-2.079543113708496094e+00,1.608853816986083984e+00,5.743392109870910645e-01,-1.454132556915283203e+00
2.532270550727844238e-01,3.517936170101165771e-01,5.764407515525817871e-01,-5.854585021734237671e-02,3.812184631824493408e-01,3.489888086915016174e-02,9.219690561294555664e-01,1.431492924690246582e+00,2.164784520864486694e-01,-4.291144311428070068e-01,-2.053890705108642578e+00,-2.520553588867187500e+00,1.604752302169799805e+00,2.467459201812744141e+00
4.013288617134094238e-01,3.773872852325439453e-01,5.604394897818565369e-02,-1.234285607933998108e-01,8.366860151290893555e-01,4.795745909214019775e-01,-2.339446395635604858e-01,2.705382108688354492e-01,1.401548385620117188e+00,4.896216094493865967e-01,-1.474061369895935059e+00,-2.210782766342163086e+00,-8.031655550003051758e-01,2.437239408493041992e+00
-2.953473925590515137e-01,4.971634447574615479e-01,7.105907201766967773e-01,-3.647420108318328857e-01,2.466798871755599976e-01,-6.297984719276428223e-01,6.398954987525939941e-01,1.757225036621093750e+00,1.510907530784606934e+00,2.367266416549682617e+00,-1.214428544044494629e+00,-1.486320376396179199e+00,-1.663814187049865723e+00,1.711132764816284180e+00
-2.479052245616912842e-01,-1.585330218076705933e-01,9.575561881065368652e-01,1.985310465097427368e-01,-3.949195444583892822e-01,8.673093914985656738e-01,2.289070188999176025e-01,2.279501199722290039e+00,-3.921654820442199707e-01,7.160198092460632324e-01,-1.447003602981567383e+00,2.550965309143066406e+00,1.527256846427917480e+00,2.908977270126342773e+00
-3.278366625308990479e-01,5.909582972526550293e-01,8.284616470336914062e-02,-2.884689867496490479e-01,-2.503908872604370117e-01,5.484505891799926758e-01,7.438360452651977539e-01,1.844156384468078613e+00,1.597672462463378906e+00,-2.819974422454833984e+00,9.909189939498901367e-01,-9.958314299583435059e-01,1.804597377777099609e+00,1.846249461174011230e+00
-5.678747892379760742e-01,1.720523089170455933e-01,6.226841211318969727e-01,3.517085313796997070e-01,-3.046024143695831299e-01,8.117929100990295410e-01,3.528607189655303955e-01,2.160399436950683594e+00,1.301663756370544434e+00,-1.383802771568298340e+00,1.203751564025878906e+00,-2.325607299804687500e+00,1.558928608894348145e+00,2.190521478652954102e+00
-2.037227153778076172e-01,-7.455193400382995605e-01,2.411022186279296875e-01,4.063284993171691895e-01,6.402187943458557129e-01,-4.207004308700561523e-01,-4.980243742465972900e-01,-1.647111415863037109e+00,1.326114892959594727e+00,-2.355653345584869385e-01,-8.160145878791809082e-01,1.752615451812744141e+00,-1.141045331954956055e+00,-2.909768581390380859e+00
-3.386987447738647461e-01,4.275482520461082458e-02,7.366641759872436523e-01,4.768054485321044922e-01,-2.024502754211425781e-01,-2.482938021421432495e-01,8.185479044914245605e-01,-1.821004390716552734e+00,-7.193746566772460938e-01,2.162113904953002930e+00,1.955700516700744629e+00,-1.310698628425598145e+00,5.926373600959777832e-01,-6.128299236297607422e-01
2.111459076404571533e-01,-3.069125115871429443e-01,7.370171546936035156e-01,2.367070764303207397e-01,9.494813680648803711e-01,-1.978790611028671265e-01,5.743514746427536011e-02,2.855199575424194336e+00,1.517001092433929443e-01,2.606485605239868164e+00,-1.611252784729003906e+00,2.791413307189941406e+00,-1.346412062644958496e+00,2.825461387634277344e+00
-8.408801630139350891e-03,6.878422498703002930e-01,-4.962248727679252625e-02,3.401004895567893982e-02,9.404488801956176758e-01,3.111812770366668701e-01,-1.325345933437347412e-01,-1.391750574111938477e+00,-1.640319585800170898e+00,-3.883064687252044678e-01,9.573273658752441406e-01,-1.105661034584045410e+00,4.448866248130798340e-01,6.977950036525726318e-02
3.226190805435180664e-01,1.758922338485717773e-01,9.519947171211242676e-01,-3.550477623939514160e-01,8.668600320816040039e-01,3.417723178863525391e-01,7.540880143642425537e-02,-6.812639832496643066e-01,3.208112418651580811e-01,-1.455505847930908203e+00,8.745577931404113770e-01,-2.957023382186889648e+00,1.782645106315612793e+00,2.348898947238922119e-01
4.719876125454902649e-02,7.953034043312072754e-01,6.840659379959106445e-01,-5.892727971076965332e-01,-1.616771221160888672e-01,-5.434052944183349609e-01,5.756116509437561035e-01,1.302123785018920898e+00,1.013478159904479980e+00,1.012529850006103516e+00,-5.687477588653564453e-01,-2.551826715469360352e+00,6.879572272300720215e-01,-1.037248969078063965e+00
6.403831243515014648e-01,-5.177033543586730957e-01,3.805718719959259033e-01,-1.530242338776588440e-02,6.097775697708129883e-01,-3.022950291633605957e-01,7.324990630149841309e-01,-1.104246735572814941e+00,1.457763075828552246e+00,1.304047942161560059e+00,-8.364081382751464844e-01,-1.131727576255798340e+00,-3.837229013442993164e-01,-5.962021350860595703e-01
9.829829633235931396e-02,4.166665971279144287e-01,5.065846443176269531e-02,5.233755707740783691e-01,1.922960877418518066e-01,6.948516368865966797e-01,-4.541821777820587158e-01,-1.212606430053710938e+00,-1.561213254928588867e+00,-4.720809459686279297e-01,1.844591140747070312e+00,1.052225828170776367e+00,1.687268018722534180e+00,7.056404948234558105e-01
-1.423232853412628174e-01,1.954884082078933716e-01,1.122152686119079590e+00,-3.108083605766296387e-01,3.671295344829559326e-01,8.437317609786987305e-01,2.381821870803833008e-01,-1.181187152862548828e+00,2.007989287376403809e-01,-2.964650630950927734e+00,-8.925737738609313965e-01,-4.160520732402801514e-01,3.350394666194915771e-01,9.450429081916809082e-01
-1.487323343753814697e-01,3.190243989229202271e-02,1.197816491127014160e+00,-4.528869092464447021e-01,1.161513179540634155e-01,-6.281886100769042969e-01,6.219174861907958984e-01,-2.077642530202865601e-01,-2.422804683446884155e-01,-1.698930025100708008e+00,-1.123174428939819336e-01,2.380654811859130859e+00,1.239985704421997070e+00,-2.017740488052368164e+00
3.064293414354324341e-04,-3.000116646289825439e-01,1.122858047485351562e+00,4.048680067062377930e-01,2.057632654905319214e-01,6.589591503143310547e-01,5.995966792106628418e-01,-2.463872671127319336e+00,6.472522765398025513e-02,7.888869047164916992e-01,-6.903618574142456055e-01,1.889562845230102539e+00,1.051964998245239258e+00,1.055548667907714844e+00
-7.282802462577819824e-02,6.426341533660888672e-01,1.650944948196411133e-01,7.730651497840881348e-01,5.513337254524230957e-01,-2.133958637714385986e-01,2.299210578203201294e-01,-1.634015083312988281e+00,-1.260281682014465332e+00,-2.822116374969482422e+00,-1.068801045417785645e+00,-1.475438922643661499e-01,1.464977860450744629e+00,-2.609443902969360352e+00
5.436175465583801270e-01,1.078039407730102539e-01,8.832277655601501465e-01,-8.119884133338928223e-01,2.073266953229904175e-01,-1.702960133552551270e-01,5.183532834053039551e-01,-5.077172517776489258e-01,5.435599684715270996e-01,-1.813257694244384766e+00,8.224867582321166992e-01,-3.336654976010322571e-02,-1.072395443916320801e+00,9.533041715621948242e-01
-2.804687619209289551e-01,-4.883456230163574219e-01,6.290634870529174805e-01,-3.888007998466491699e-02,-3.131575584411621094e-01,6.741953492164611816e-01,6.677435040473937988e-01,-2.934155941009521484e+00,1.051237583160400391e+00,1.602486252784729004e+00,-1.647923350334167480e+00,-4.441913962364196777e-01,-1.357642769813537598e+00,2.797555446624755859e+00
-5.394102334976196289e-01,3.552204668521881104e-01,1.420198231935501099e-01,-2.189631313085556030e-01,8.494256138801574707e-01,1.685611307621002197e-01,-4.495758414268493652e-01,1.065634340047836304e-01,-1.884040832519531250e+00,-1.488287329673767090e+00,1.459107875823974609e+00,-2.583607137203216553e-01,1.262570977210998535e+00,1.023674130439758301e+00
