ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,q_prev_0,q_prev_1,q_prev_2,q_prev_3,q_prev_4,q_prev_5,q_prev_6,q_curr_0,q_curr_1,q_curr_2,q_curr_3,q_curr_4,q_curr_5,q_curr_6
0.253981,0.191720,0.905194,0.383044,0.905931,0.139200,-0.114846,1.726042,-0.216140,2.112484,1.088585,-2.938778,1.927497,1.775731,1.784605,-0.178597,2.203516,1.125124,-2.967060,1.924149,1.717131
0.240149,0.228636,0.906982,0.353862,0.922807,0.127664,-0.083136,1.784605,-0.178597,2.203516,1.125124,-2.967060,1.924149,1.717131,1.758690,-0.103036,2.235393,1.090177,-2.967060,1.925788,1.656303
0.231177,0.244467,0.894375,0.345089,0.929317,0.099733,-0.085661,1.758690,-0.103036,2.235393,1.090177,-2.967060,1.925788,1.656303,1.725134,-0.087435,2.293159,1.120615,-2.967060,1.941007,1.659904
0.248202,0.271005,0.887976,0.414011,0.900019,0.120505,-0.063558,1.725134,-0.087435,2.293159,1.120615,-2.967060,1.941007,1.659904,1.745828,-0.006625,2.189997,1.091060,-2.937514,1.861927,1.733702
0.245981,0.294431,0.863784,0.417439,0.900766,0.086102,-0.083371,1.745828,-0.006625,2.189997,1.091060,-2.937514,1.861927,1.733702,1.764246,0.035705,2.161449,1.131748,-2.884091,1.873571,1.745422
-0.388113,0.074861,0.838927,-0.711879,-0.122081,0.053172,0.689564,-1.361673,-0.568871,-1.101135,-1.434193,-2.090096,1.826846,-0.379323,-1.367923,-0.494798,-1.138315,-1.475306,-2.079980,1.869066,-0.378751
-0.381635,0.020866,0.852109,-0.716065,-0.209283,0.066397,0.662603,-1.367923,-0.494798,-1.138315,-1.475306,-2.079980,1.869066,-0.378751,-1.301475,-0.451959,-1.096224,-1.447600,-1.963598,1.858808,-0.478927
-0.387172,0.013304,0.877914,-0.690137,-0.237380,0.102825,0.675861,-1.301475,-0.451959,-1.096224,-1.447600,-1.963598,1.858808,-0.478927,-1.221263,-0.474844,-1.090830,-1.382122,-2.043710,1.796225,-0.558991
-0.382644,0.010686,0.898196,-0.644646,-0.230410,0.142740,0.714820,-1.221263,-0.474844,-1.090830,-1.382122,-2.043710,1.796225,-0.558991,-1.260970,-0.452862,-1.064620,-1.368308,-2.114349,1.680720,-0.556274
-0.371439,-0.000322,0.905228,-0.652983,-0.223358,0.158142,0.706198,-1.260970,-0.452862,-1.064620,-1.368308,-2.114349,1.680720,-0.556274,-1.284558,-0.429893,-1.029523,-1.361396,-2.076342,1.692181,-0.529770
-0.366002,0.025727,0.918842,-0.669002,-0.189330,0.142354,0.704504,-1.284558,-0.429893,-1.029523,-1.361396,-2.076342,1.692181,-0.529770,-1.319792,-0.438873,-1.019684,-1.320370,-2.096029,1.718239,-0.543062
-0.388663,0.016165,0.897560,-0.594409,-0.221031,0.104498,0.766096,-1.319792,-0.438873,-1.019684,-1.320370,-2.096029,1.718239,-0.543062,-1.325669,-0.397397,-1.119337,-1.385194,-2.170138,1.601558,-0.576976
-0.388652,0.017799,0.910307,-0.632713,-0.209628,0.161530,0.727762,-1.325669,-0.397397,-1.119337,-1.385194,-2.170138,1.601558,-0.576976,-1.288197,-0.411641,-1.109447,-1.330733,-2.103754,1.598101,-0.509296
-0.404107,0.028818,0.879875,-0.621288,-0.220435,0.158064,0.735137,-1.288197,-0.411641,-1.109447,-1.330733,-2.103754,1.598101,-0.509296,-1.283591,-0.453511,-1.139167,-1.404760,-2.148161,1.580201,-0.469117
-0.414678,0.008296,0.854463,-0.613336,-0.309035,0.163632,0.708196,-1.283591,-0.453511,-1.139167,-1.404760,-2.148161,1.580201,-0.469117,-1.197553,-0.522620,-1.119526,-1.456787,-2.124426,1.573646,-0.560662
-0.423271,-0.001975,0.829062,-0.600334,-0.332789,0.150697,0.711436,-1.197553,-0.522620,-1.119526,-1.456787,-2.124426,1.573646,-0.560662,-1.151138,-0.552870,-1.146221,-1.510274,-2.157140,1.595041,-0.570125
-0.398209,-0.033551,0.843886,-0.572283,-0.317246,0.162122,0.738623,-1.151138,-0.552870,-1.146221,-1.510274,-2.157140,1.595041,-0.570125,-1.134705,-0.534774,-1.080188,-1.527414,-2.230983,1.648402,-0.586699
-0.390328,-0.053974,0.840944,-0.613333,-0.326582,0.145347,0.704301,-1.134705,-0.534774,-1.080188,-1.527414,-2.230983,1.648402,-0.586699,-1.078975,-0.515605,-1.086745,-1.509975,-2.133432,1.752251,-0.583230
-0.387905,-0.065714,0.845809,-0.599446,-0.320784,0.109935,0.725036,-1.078975,-0.515605,-1.086745,-1.509975,-2.133432,1.752251,-0.583230,-1.070966,-0.461793,-1.129028,-1.493321,-2.134726,1.767946,-0.624898
-0.416179,0.022890,0.810836,-0.669561,-0.262037,0.037798,0.693971,-1.070966,-0.461793,-1.129028,-1.493321,-2.134726,1.767946,-0.624898,-1.150444,-0.565443,-1.184897,-1.516255,-2.149385,1.864808,-0.569599
-0.413030,0.038644,0.804503,-0.672967,-0.246166,-0.007185,0.697471,-1.150444,-0.565443,-1.184897,-1.516255,-2.149385,1.864808,-0.569599,-1.198548,-0.548057,-1.205251,-1.530473,-2.140119,1.895766,-0.586562
-0.423239,0.072124,0.827776,-0.736006,-0.205432,-0.001601,0.645051,-1.198548,-0.548057,-1.205251,-1.530473,-2.140119,1.895766,-0.586562,-1.145356,-0.605154,-1.204934,-1.400590,-2.128965,1.967427,-0.581986
